,index,0
10,SAMD9L,---------------------------Y413N---------------------------------------------------------------------------------------------------------------------------------------------------I621I----------------------F1216L-------------------------------------------------------R1411G--------------------------------------L604L-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
11,SLC25A28,------------------------------Y152H-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------K154T--------------------------------------T245S-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
12,NRP2,--------------------------------Y85Y--------------------------------------------------------------------------------------R410C-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
13,PYGM,------------------------------------Y821H---------------------------------------------------------------------------------------------------------------------------------------------------------------------------T692S---------------------------------------------------------------------------------------------G21S--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
14,NF2,-------------------------------------------Y132*-K171*------------------------------------------------------------RLLQMK359fs---------------------------SE444fs--------------------------------------------------------------------------------------------------------------------------------------------------D494N--------------------------------------------------------P134H------------------------------------------------------------------------------------------------------------------------------------------SS12fs-----------R341*-------------------------
15,SLC5A6,---------------------------------------------Y295C-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------L268L-----------A317V-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------R136L-------------------------------------------------------------------------------------
16,CENPA,---------------------------------------------Y110H-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
17,KIF20A,-------------------------------------------------------Y814H--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------N365D------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------C607C-----------------------------------------------------------------
18,ZNFX1,-------------------------------------------------------Y411F--------H1845P---------V497I--------------------------------------------------------------------------------------P157R--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------R472G----------K133K--------------------------------------------------------E150D-------------------------------------------------------S196G----
19,REV3L,------------------------------------------------------------Y2913N--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------D250D---------------------------------------N1558fs--------------------------------------------------------------------------------------------------------------------------------------------N1357fs------------------------------------------
20,GUCY2D,----------------------------------------------------------------Y1035S---------------------------------------------------------------------------------R490Q-----------------------------------------------------------------L998L-----------------------------------------------------------------------------------A52S--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
21,LDB1,---------------------------------------------------------------------YR69fs-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------L53P-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
22,GPAM,--------------------------------------------------------------------------------Y572N--------------------------------------------------------------------------------------------------------------------------------------I204V-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
23,FZD7,--------------------------------------------------------------------------------Y324*----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------G545G---
24,EIF2S1,-----------------------------------------------------------------------------------Y202Y-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
25,ATXN1,---------------------------------------------------------------------------------------Y139C-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------A632A------------------------------------------------------------Q208H--------------------------------------------------------Q207H-----------------------------R379W-------------------------------------------------------------------
26,EDC4,-----------------------------------------------------------------------------------------Y420H---------------------------T64T-------------------------------------------------------------------------------------------------------------------------------L145W-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------K111K-----------------
27,CDH11,-------------------------------------------------------------------------------------------Y702H--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------E40E-----------------------------------------------------------Q325H-------------------P706LA452A---------------------------------------------------------------------------------------------------------------------------------------
28,HERPUD1,--------------------------------------------------------------------------------------------Y301C---------------------------------------------------------------------------------------------------------------------------------------------------------------------------M300T--------------------------------------------------------------------------E118D-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
29,HRG,---------------------------------------------------------------------------------------------Y46F--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------E303*----------------------------------------------
30,PYGB,----------------------------------------------------------------------------------------------Y375H------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
31,KPTN,----------------------------------------------------------------------------------------------Y331C--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------R38fs---------------------------------------------------------------------------------------------------------
32,G6PD,----------------------------------------------------------------------------------------------Y112H--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------Q195H---------------------------------------------------------------------------------------------------------------------------
33,LCLAT1,-----------------------------------------------------------------------------------------------------Y139*---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------M185I-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
34,COCH,----------------------------------------------------------------------------------------------------------Y479H------------------S514fs------------------------------------------------------------------------------------------------------------N241T--------------------------------------------------------------------------------------------------------F328F-------------------------L350V---------------------------------------------G135E-------------------------------------------------------------------------------------------------------
35,HSDL2,-----------------------------------------------------------------------------------------------------------Y178C---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------A44P-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
36,HERC3,------------------------------------------------------------------------------------------------------------------Y317C------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------F853Y---------E231*-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
37,PBX2,-------------------------------------------------------------------------------------------------------------------------------Y262F-----------------------------------------------------------------R82Q-----------------------------------------Y262F--------------------------------------------------------------Y262F---------------------------------------------------------------------------------------------------------------------------------------------S330N--------------------------------------------------------------------------
38,CLCN3,--------------------------------------------------------------------------------------------------------------------------------YS497fs----------------------------------------------------------------------------------------------G240E---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
39,CS,--------------------------------------------------------------------------------------------------------------------------------Y286F-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------L259L----------------------------------------------------------------------------------------------A171A---------------------------
40,SLC2A1,----------------------------------------------------------------------------------------------------------------------------------Y366H-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------R334R------------------------------------------------------------------------------------------------------------------------------------------------------
41,MCCC1,----------------------------------------------------------------------------------------------------------------------------------Y200C---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------R421R----------------A384G---------------------------------------------------------------------------
42,CDADC1,-----------------------------------------------------------------------------------------------------------------------------------Y366Y-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
43,JUNB,--------------------------------------------------------------------------------------------------------------------------------------Y68H----------------------------------------------------------------------------------------------------------------------------------------------------------------------L303L--------------------------------------------------------H345D------------------------------------------------------------------------------------------------------------------------------------------------------------
44,PANX1,-------------------------------------------------------------------------------------------------------------------------------------------Y121*---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
45,FBXO7,---------------------------------------------------------------------------------------------------------------------------------------------Y448fs------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------Q119P----------------------------------P336Q-------------------------------------------------------------------------------------------
46,PRKAR2B,--------------------------------------------------------------------------------------------------------------------------------------------------Y399*--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
47,MPZL2,----------------------------------------------------------------------------------------------------------------------------------------------------Y104H------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
48,EWSR1,-----------------------------------------------------------------------------------------------------------------------------------------------------------Y18C-----------------------R494R-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
49,ARPC2,----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------Y146N------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
50,ACTC1,-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------Y55Y----------------------------------------------------------------------------R149H----------------------------------------------------------------I319I-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
51,C3AR1,-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------Y255F----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------L402F------------------------------------------
52,LOX,----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------Y227C------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------D256E---------------Y334*-------------------------------------------------------------------------------------------
53,HNRNPU,-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------Y765H---------------------------------------------------------------------------------------------------------------------------------------------------------G429G--------------------------------------------------------------------------------------------------------------------------------E375E--------------------
54,RHOB,-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------Y34C---E29G-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
55,RASGRP1,---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------Y421C-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
56,GPD1,----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------Y330*------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
57,DSC2,---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------Y646Y-------------------------------E896fs----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------P649L-----------------I435S------------------
58,PRLR,--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------Y92H-----------------------------------------------------------------------------------------------------------------------------------------------------------A446V--------------------------------------------------------------------------------------------------------------
59,DCAF11,--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------Y457fs----------------------------------------------------------------------------------------------------------------------------------------------------W238C------------C460S--------------------------------------------------------------------------------------------------------
60,BID,---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------Y54H-----------------------------------------------------------------------------------------S64T----------------------------------------------------------------------------------------------------------------------------N124K--------------------------------------------------
61,SRSF1,-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------Y82*-----------------------------------------------------------------------------------------------------------V35M---------------------------------------------------------------------------------------------------------------------------------------------------------
62,CALB2,-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------Y228Y---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
63,BMP1,--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------Y180C------------------------------------------E513G--------------------------------------------------------------------------------------------------------------------------------------------------W350*-----------------------------------------------P19T----
64,NPTX2,---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------Y237D-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
65,FADS2,----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------Y182S------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
66,USP12,------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------Y49*----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
67,RPL22,-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------Y90fs----------------------------------------L86P----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------Y82*-----------------
68,MFSD6,---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------Y279H----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------E731K--------------------------------------------
69,DNM1L,------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------Y493Y----------------------------------------------------Y449fs-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
70,UBE2N,--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------Y62F------------------------------------------------Q135K-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
71,SULT1B1,---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------Y140F-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
72,ITPK1,----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------Y302N------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
73,RBM5,----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------Y791*-P445P----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
74,ADCY6,----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------Y849fs------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
75,STAT3,----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------Y293N-----------------------------------------------------S513S------------------------------------------------------------------------------------------------------------------------------
76,TTR,--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------Y136C--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
77,TMEM176A,---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------Y144*-------------------------------------------------------------------------------------------------W211L-----------------------------------------------------------------------------
78,TXNL4A,-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------Y142*-----------------------------------------------------------------------------------------------------------------------------------------
79,HEY1,--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------Y112Y--------------------------------------------------------------------------------------------------------------------------------------
80,TACR1,-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------Y287L---------------------------------------------------------------------------------------------------------------------------------
81,CD38,----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------Y106C------------------------------------------------------------------------------------------------------------------------------
82,COL6A2,--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------Y263*---------------------------------------R533H----------------------------------------------------------------------------
83,IRAK4,------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------Y371H----------------------------------------------------------------------------------------------------------------
84,FZD2,--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------Y482Y--------------------------------------------------------------------------------------------------------
